phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,blend_source,blend_weight,selected_alignment,stage1_source,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_plus_base_0p25,base_logit,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5856164383561644,0.5797656047656048,0.5856164383561644,0.5674106140772808,584,30,26,0.569850965007215,0.5673058423058424,0.584593927690162,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_plus_base_0p50,base_logit,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5993150684931506,0.5991959429459429,0.5993150684931506,0.5964724627224628,584,30,26,0.5857079725829725,0.5843108280608281,0.5918177591817759,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_plus_base_rank_0p25,base_session_rank,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5873287671232876,0.5869771432271432,0.5873287671232876,0.5761606140772808,584,30,26,0.5755157602813853,0.5746478058978058,0.5772985731144727,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,eeg_plus_base_rank_0p50,base_session_rank,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5958904109589042,0.5978452103452103,0.5958904109589042,0.5947727272727273,584,30,26,0.5850793650793651,0.5839070651570651,0.5802667811036012,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-zero,False,zero_eeg_control,eeg_only,eeg_score,0.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5753424657534246,0.5617710992710993,0.5753424657534246,0.5517492384159051,584,30,26,0.5578216314935065,0.5545817608317608,0.5732575188642134,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-zero,False,zero_eeg_control,base_only,base_logit,1.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6267123287671232,0.6368876493876494,0.6267123287671232,0.6421412538079204,584,30,26,0.6280566829004328,0.6281401468901469,0.6986732467904017,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-zero,False,zero_eeg_control,eeg_plus_base_0p05,base_logit,0.05,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5821917808219178,0.5681457431457432,0.5821917808219178,0.5574723424723425,584,30,26,0.5654407918470419,0.5620636308136308,0.5745091728355327,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-zero,False,zero_eeg_control,eeg_plus_base_0p10,base_logit,0.1,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5873287671232876,0.5708701021201021,0.5873287671232876,0.5598334535834536,584,30,26,0.5722540133477634,0.5677960927960928,0.5754389729285126,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-zero,False,zero_eeg_control,eeg_plus_base_0p25,base_logit,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5976027397260274,0.5873943186443187,0.5976027397260274,0.5766544412377747,584,30,26,0.5842619273088023,0.5811241998741998,0.5779065193291135,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-zero,False,zero_eeg_control,eeg_plus_base_0p50,base_logit,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6027397260273972,0.5902164964664964,0.6027397260273972,0.5894177890011224,584,30,26,0.5904413555194805,0.5876565564065562,0.584486643064049,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-zero,False,zero_eeg_control,eeg_plus_base_rank_0p25,base_session_rank,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.5958904109589042,0.5898134273134272,0.5958904109589042,0.5861584094917428,584,30,26,0.585011047979798,0.5825061512561512,0.5755104960125881,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-zero,False,zero_eeg_control,eeg_plus_base_rank_0p50,base_session_rank,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6095890410958904,0.6033818033818034,0.6095890410958904,0.6019388327721661,584,30,26,0.5949182674963925,0.5926647426647426,0.5769767192361335,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_only,eeg_score,0.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6164383561643836,0.6384615384615385,0.6164383561643836,0.6216666666666666,584,30,26,0.6169147952741703,0.6142728105228106,0.6478203340128026,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,base_only,base_logit,1.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6267123287671232,0.6368876493876494,0.6267123287671232,0.6421412538079204,584,30,26,0.6280566829004328,0.6281401468901469,0.6986732467904017,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_0p05,base_logit,0.05,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6198630136986302,0.6411858974358975,0.6198630136986302,0.6251388888888889,584,30,26,0.6230122655122655,0.6204083416583418,0.6484640417694811,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_0p10,base_logit,0.1,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6232876712328768,0.646474358974359,0.6232876712328768,0.6297222222222222,584,30,26,0.6306614132395383,0.6282492507492509,0.6491077495261596,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_0p25,base_logit,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6318493150684932,0.6579339641839643,0.6318493150684932,0.6401829805996473,584,30,26,0.6384602723665224,0.6365800403300402,0.6517541036369487,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_0p50,base_logit,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6335616438356164,0.6620497557997559,0.6335616438356164,0.6500462962962964,584,30,26,0.6418770292207793,0.6412619325119325,0.6557593963451704,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_rank_0p25,base_session_rank,0.25,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6284246575342466,0.6565679690679691,0.6284246575342466,0.6458774250440918,584,30,26,0.6367228084415585,0.6351904576904577,0.6491792726102349,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,eeg_plus_base_rank_0p50,base_session_rank,0.5,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6404109589041096,0.6709885022385021,0.6404109589041096,0.6606900352733686,584,30,26,0.6497153454184704,0.6494063344063344,0.6502878804134035,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-real,True,real_eeg,eeg_only,eeg_score,0.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6352739726027398,0.628180846930847,0.6352739726027398,0.6211562049062049,584,30,26,0.6068454635642136,0.605826812076812,0.6148839537960876,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-real,True,real_eeg,base_only,base_logit,1.0,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6267123287671232,0.6368876493876494,0.6267123287671232,0.6421412538079204,584,30,26,0.6280566829004328,0.6281401468901469,0.6986732467904017,26
V2-N,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2026,V2H-local-real,True,real_eeg,eeg_plus_base_0p05,base_logit,0.05,user_center_alpha_2p0,V1-profile-dynamic-gated_cross_attention,0.6335616438356164,0.6265426702926702,0.6335616438356164,0.6132549703383037,584,30,26,0.6062291441197691,0.6052570115070114,0.6152773307585023,26
