phase,fold,seed,config_id,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,delta_transfer_gauc_vs_current_champion
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.6298461157416382,0.6330035473785474,0.4111766747657063,28,0.013825639918865429
V2-I,1,2029,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6413118390730331,0.6409292542774685,0.4238805970149254,28,0.02529136325026038
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.5387205762987013,0.5356453731453731,0.3747451990129814,26,-0.07729989952407146
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5504902822871574,0.5461797461797461,0.37252798340664456,26,-0.0655301935356154
V2-I,2,2029,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6414720869408369,0.6385627798127799,0.33118764081107177,26,0.025451611118064155
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.594208268421555,0.6107434694934696,0.34622427305354136,24,-0.021812207401217698
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5391528925619834,0.557341019320186,0.32494689811762983,24,-0.07686758326078935
V2-I,3,2029,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.637013607992629,0.647729812625646,0.3553431480260748,24,0.02099313216985621
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.621067821067821,0.618623415275201,0.4186393613328706,28,0.00504734524504824
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.6311506321207814,0.6303394059644061,0.4261020479000347,28,0.015130156298008623
V2-I,1,2030,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6266294070771683,0.6260395193430908,0.40836515098923987,28,0.010608931254395548
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.547056727994228,0.5423197173197173,0.37453062976075524,26,-0.06896374782854475
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5607620851370851,0.5551885614385614,0.37077566784679755,26,-0.05525839068568761
V2-I,2,2030,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6189995941558442,0.6158122895622895,0.32128169366663095,26,0.0029791183330714066
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,0.6029982061450592,0.6210285470702138,0.2995678605434703,24,-0.013022269677713583
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,0.5697976945354568,0.5864697146988814,0.35585585585585583,24,-0.04622278128731594
V2-I,3,2030,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,0.6152388792248933,0.6223039653247987,0.3442466857101003,24,-0.0007815965978794637
