phase,fold,seed,config_id,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,task,split,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_gauc,event_macro_auc,event_global_auc
V2-I,1,2027,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.7123745819397993,0.7123745819397993,0.7303193829979545,0.7555009276437847,598,35,28,0.7057273158019426,0.7044523036487323,0.41738979520999653
V2-I,2,2027,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.636986301369863,0.636986301369863,0.6085990398490398,0.5914339826839826,584,30,26,0.5990524666305916,0.5935680985680987,0.3252512248328149
V2-I,3,2027,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.616504854368932,0.616504854368932,0.6324553880597482,0.6052772558129701,618,28,24,0.6318676855390143,0.6380516397183064,0.39126931809858645
V2-I,1,2028,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.697324414715719,0.697324414715719,0.71202053568125,0.7410602624888339,598,35,28,0.6800687040985549,0.672983104858105,0.4162096494272822
V2-I,2,2028,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.6541095890410958,0.6541095890410958,0.6398453398453398,0.6333024691358023,584,30,26,0.620919237012987,0.6165990028490028,0.33283267174480563
V2-I,3,2028,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.6440129449838188,0.6440129449838188,0.6349778963797926,0.6429929693322551,618,28,24,0.6393755137636257,0.6418152102527103,0.3627774115578994
V2-I,1,2029,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.7006688963210702,0.7006688963210702,0.6973270017020018,0.7259324194324195,598,35,28,0.682756671189507,0.6777249965642824,0.43512669212079136
V2-I,2,2029,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.6506849315068494,0.6506849315068494,0.6244311244311245,0.6013720538720541,584,30,26,0.5997071158008659,0.598564491064491,0.34788828094267427
V2-I,3,2029,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.6715210355987055,0.6715210355987055,0.6883098248023428,0.6904805544984116,618,28,24,0.6840745307528525,0.694954385891886,0.35043580165531385
V2-I,1,2030,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.7073578595317725,0.7073578595317725,0.727053132053132,0.7536815776815777,598,35,28,0.6808280028429282,0.6774573112073113,0.4202360291565429
V2-I,2,2030,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.648972602739726,0.648972602739726,0.6280152717652718,0.6170312249478916,584,30,26,0.6169814213564213,0.6153550153550152,0.3335479025855595
V2-I,3,2030,C0p1-sample0p6-cap3000,V2H-local-real,True,real_eeg,0.1,0.6,3000,same_user_same_session_pairwise_training,dev,0.6326860841423948,0.6326860841423948,0.6358529667643444,0.6441413249448963,618,28,24,0.6398688723863548,0.6431957432999099,0.35717424741814985
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6538461538461539,0.6538461538461539,0.6476347263847264,0.6541212121212121,598,35,28,0.6317654153475049,0.629453398783756,0.40371398819854215
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6421404682274248,0.6421404682274248,0.6213217338217338,0.6304761904761905,598,35,28,0.6086026577071354,0.6069565553494124,0.41634849010760144
V2-I,1,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6471571906354515,0.6471571906354515,0.6583379847665564,0.6927309145880575,598,35,28,0.639688031702957,0.6361615946883805,0.4082610204790003
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5753424657534246,0.5753424657534246,0.5641215266215267,0.553654000320667,584,30,26,0.5600306637806638,0.5574303011803011,0.39126703143439545
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5753424657534246,0.5753424657534246,0.5617710992710993,0.5517492384159051,584,30,26,0.5578216314935065,0.5545817608317608,0.3750670528913207
V2-I,2,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6164383561643836,0.6164383561643836,0.6384615384615385,0.6216666666666666,584,30,26,0.6169147952741703,0.6142728105228106,0.3293280406251118
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5970873786407767,0.5970873786407767,0.6385796665685727,0.6217429660286803,618,28,24,0.6229670775999447,0.6338842099258765,0.3323811616494543
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5728155339805825,0.5728155339805825,0.601893419367297,0.5849311006453863,618,28,24,0.5790397636551483,0.5991028184778185,0.33384604116311434
V2-I,3,2026,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6245954692556634,0.6245954692556634,0.623670957734264,0.639478811532383,618,28,24,0.6137238150350038,0.62022362668196,0.36116604409287334
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6555183946488294,0.6555183946488294,0.6477837176051462,0.6564076822648252,598,35,28,0.6287520191251535,0.6290095255273828,0.4165914612981603
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6438127090301003,0.6438127090301003,0.6195013518227804,0.6232811791383219,598,35,28,0.6017191100773189,0.5971356421356422,0.4208608122179799
V2-I,1,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6488294314381271,0.6488294314381271,0.6671642246642246,0.6977925170068028,598,35,28,0.6534999246193276,0.6545109900020615,0.410621312044429
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5736301369863014,0.5736301369863014,0.5621373996373996,0.5609291325957992,584,30,26,0.5619627074314575,0.5573845136345137,0.37385116046203914
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5582191780821918,0.5582191780821918,0.5499375624375624,0.5432924482924483,584,30,26,0.5456742649711399,0.5423611111111112,0.3790008225154669
V2-I,2,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6164383561643836,0.6164383561643836,0.6296141358641358,0.6319751082251082,584,30,26,0.6074147727272727,0.6029717504717503,0.32671744805636016
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.551779935275081,0.551779935275081,0.5768390678546123,0.573766316355602,618,28,24,0.5697918534456996,0.5785452703161037,0.3003369222881418
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5663430420711975,0.5663430420711975,0.5907997789725086,0.5772986306022021,618,28,24,0.5700384890944332,0.5882483141858142,0.32871896286530433
V2-I,3,2027,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6472491909385113,0.6472491909385113,0.6536947806605636,0.676905759584331,618,28,24,0.6329298615137775,0.6422608641358641,0.34153665860982935
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6404682274247492,0.6404682274247492,0.6584692952550096,0.6745104789390504,598,35,28,0.6202788008011889,0.6194836330997047,0.40527594585213467
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6555183946488294,0.6555183946488294,0.6693733812483812,0.6683222703222702,598,35,28,0.6328600503973638,0.635147091664949,0.4149947934744881
V2-I,1,2028,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6421404682274248,0.6421404682274248,0.6595483022268737,0.6905245653817081,598,35,28,0.6351250242295019,0.630419479660551,0.40111072544255466
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.553082191780822,0.553082191780822,0.5494491619491619,0.5333321308321308,584,30,26,0.5457912833694083,0.5414405039405039,0.38790544648285236
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5547945205479452,0.5547945205479452,0.5439673752173753,0.5369278098444764,584,30,26,0.551042794011544,0.5440700503200503,0.37928691485176846
V2-I,2,2028,C0p3-sample0p35-cap3000,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.6404109589041096,0.6404109589041096,0.648462185962186,0.6391037357704026,584,30,26,0.6267774846681096,0.6221640396640397,0.3267889711404356
V2-I,3,2028,C0p3-sample0p35-cap3000,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,same_user_same_session_pairwise_training,dev,0.5614886731391586,0.5614886731391586,0.5907741510415013,0.5739047229225801,618,28,24,0.5646544015425135,0.5834967578717579,0.35127810737566834
