phase,fold,seed,representation,pair_protocol,candidate,uses_eeg,control_type,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count,pairwise_c,pair_sample_rate,pair_cap,train_pair_count_total,train_pair_count_used,train_pair_rows_with_reverse,train_feature_dim,solver,max_iter,tol
V2-K,1,2027,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.642874372725119,0.6397871572871573,0.5834432488719196,28,0.6605351170568562,0.6605351170568562,0.6792993415314843,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2027,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6101824044011545,0.6056737244237244,0.6486786110217073,26,0.6113013698630136,0.6113013698630136,0.6261102323602323,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2027,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6317145170292022,0.6379014658181325,0.5596572181938035,24,0.6294498381877023,0.6294498381877023,0.6476103453494773,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2028,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6383794232301694,0.6367044166151308,0.5790003471017008,28,0.6421404682274248,0.6421404682274248,0.6701267680731965,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2028,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6257035759379509,0.6205876068376068,0.6424918642491864,26,0.6267123287671232,0.6267123287671232,0.6386585636585637,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2028,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.5704766969627111,0.577757007652841,0.5429575917380796,24,0.5776699029126213,0.5776699029126213,0.5833490856146301,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2029,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6450802265727639,0.6424942236995808,0.5795904199930579,28,0.6454849498327759,0.6454849498327759,0.678017871678586,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2029,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.597082656926407,0.5943444055944055,0.6515037728426851,26,0.6027397260273972,0.6027397260273972,0.6151466588966588,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2029,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6291171338374135,0.6364496768663436,0.5566908371786421,24,0.6310679611650486,0.6310679611650486,0.6411298353576153,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
V2-K,1,2030,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6466781891408757,0.6499077724524153,0.5958000694203401,28,0.6321070234113713,0.6321070234113713,0.6695371460550031,598,0.3,0.35,3000,7061,2472,4944,699,lbfgs,200,0.001
V2-K,2,2030,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.6086248647186148,0.6078796203796204,0.6404892178950756,26,0.6113013698630136,0.6113013698630136,0.6270514208014208,584,0.3,0.35,3000,8727,3000,6000,699,lbfgs,200,0.001
V2-K,3,2030,full_mean_std,same_session,V2K-shuffle-full_mean_std,False,shuffle_eeg_control,user_center_alpha_2p0,0.5967032481892621,0.6025795385170386,0.5524060646011865,24,0.610032362459547,0.610032362459547,0.6091455603936254,618,0.3,0.35,3000,10280,3000,6000,699,lbfgs,200,0.001
