candidate,score_variant,uses_eeg,control_type,variant_family,power,base_weight,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-real,margin_power0p5_base0p05,True,real_eeg,fine_power_base_grid,0.5,0.05,5,0.6772939977796371,0.006342953266409711,0.6871659513421072,0.6772939977796371,0.6701697077618007,0.6736682181354801,0.5891799240033528,1.0,0.0
V2H-local-real,sqrt_margin_eeg_base0p05,True,real_eeg,reference_score_family,0.5,0.05,5,0.6772939977796371,0.006342953266409711,0.6871659513421072,0.6772939977796371,0.6701697077618007,0.6736682181354801,0.5891799240033528,1.0,0.0
V2H-local-real,margin_power0p4_base0p025,True,real_eeg,fine_power_base_grid,0.4,0.025,5,0.6770818559043461,0.006543313689780022,0.6869487989184597,0.6770818559043461,0.6700613024270752,0.6735422226215876,0.5886079432672294,1.0,0.0
V2H-local-real,margin_power0p35_base0p15,True,real_eeg,fine_power_base_grid,0.35,0.15,5,0.6769763866877266,0.006141432432007018,0.6784505987595559,0.6769763866877266,0.6691230410680316,0.6720129164633134,0.5969257032198143,1.0,0.0
V2H-local-real,margin_power0p25_base0p1,True,real_eeg,fine_power_base_grid,0.25,0.1,5,0.6769735807155504,0.0070290624224036,0.6784469665892571,0.6769735807155504,0.6691353602110537,0.6720184778845494,0.597302366517035,1.0,0.0
V2H-local-real,margin_power0p5_base0p025,True,real_eeg,fine_power_base_grid,0.5,0.025,5,0.676538873723542,0.00734880535961948,0.6840707668651825,0.676538873723542,0.6690190080043092,0.6711695713531032,0.5882623566081027,1.0,0.0
V2H-local-real,margin_power0p2_base0p075,True,real_eeg,fine_power_base_grid,0.2,0.075,5,0.6764296632106875,0.007418329214729748,0.6778366732114198,0.6764296632106875,0.6686750984359173,0.6713699199830152,0.5972930792176492,1.0,0.0
V2H-local-real,v2n_eeg_base_0p05,True,real_eeg,reference_score_family,1.0,0.05,5,0.6760938781668874,0.007303294553826833,0.6805579847699132,0.6760938781668874,0.6688599504001635,0.6710287662073375,0.5879110260896727,1.0,0.0
V2H-local-real,margin_power0p15_base0p0,True,real_eeg,fine_power_base_grid,0.15,0.0,5,0.6756975219324226,0.006467477685606493,0.6780740753672072,0.6756975219324226,0.6679187710470293,0.6682603549815852,0.5871749758487417,1.0,0.0
V2H-local-real,margin_power0p1_base0p0,True,real_eeg,fine_power_base_grid,0.1,0.0,5,0.6756975219324226,0.006467477685606493,0.6780740753672072,0.6756975219324226,0.6679187710470293,0.6682603549815852,0.5871749758487417,1.0,0.0
