candidate,score_variant,uses_eeg,control_type,variant_family,power,base_weight,fallback_base_weight,seed_count,mean_reliability,std_reliability,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-shuffle,pos_rel_f0p80_cap20_base0p025,False,shuffle_eeg_control,session_position_reliability,0.2,0.025,0.0,5,0.9208059207821867,0.06409966105015984,0.6284095094854216,0.00918406015083925,0.6471434058988945,0.6284095094854216,0.6209173018032953,0.6199919037458721,0.5922649442974672,1.0,0.0
V2H-local-zero,hist_pos_std_rel_fallback0p05,False,zero_eeg_control,history_position_context_std_fallback,0.2,0.025,0.05,5,0.7991609719749877,0.07745610550140944,0.6167999744385944,0.005677347571985023,0.6242916287952223,0.6167999744385944,0.6077464109303982,0.6095199922799129,0.6040184521028322,0.6,0.0
V2H-local-zero,pos_std_rel_fallback0p05,False,zero_eeg_control,position_context_std_fallback,0.2,0.025,0.05,5,0.8080971773922455,0.08324635762538532,0.6166111229972636,0.0055332650274267274,0.6273961691136354,0.6166111229972636,0.6073520773473773,0.6091459268244982,0.6072001674360811,0.6,0.0
V2H-local-zero,hist_pos_std_rel_fallback0p10,False,zero_eeg_control,history_position_context_std_fallback,0.2,0.025,0.1,5,0.7991609719749877,0.07745610550140944,0.6158478083689288,0.004037427892983957,0.6241893197464694,0.6158478083689288,0.6078438159869313,0.609634655578108,0.6059593491373938,0.4,0.0
V2H-local-zero,pos_rel_f0p80_cap20_base0p025,False,zero_eeg_control,session_position_reliability,0.2,0.025,0.0,5,0.9208059207821867,0.06409966105015984,0.6128005324699786,0.004514460409583164,0.6240636305436172,0.6128005324699786,0.6014207823786808,0.6025080395794682,0.6099235166336205,0.2,0.0
V2H-local-zero,count_hist_std_rel_fallback0p05,False,zero_eeg_control,count_history_context_std_fallback,0.2,0.025,0.05,5,0.8123998054711908,0.08835372889115153,0.6069145987108887,0.008839146377698805,0.6126723691978757,0.6069145987108887,0.6002295131892006,0.6043461309046626,0.601205227363846,0.2,0.0
V2H-local-zero,hist_std_rel_fallback0p05,False,zero_eeg_control,history_context_std_fallback,0.2,0.025,0.05,5,0.8493203997208314,0.0654259442890577,0.6064625208854032,0.008725641342890226,0.6119876620491593,0.6064625208854032,0.5941976837606828,0.5975967576662021,0.6029864175363364,0.0,0.0
V2H-local-zero,hist_rel_f0p70_cap100_base0p025,False,zero_eeg_control,history_reliability,0.2,0.025,0.0,5,0.9359746265075038,0.036634632276576304,0.6059131248774008,0.003930505627727898,0.6120849992595334,0.6059131248774008,0.5912098975833565,0.5967238203815585,0.6004425185130582,0.0,0.0
V2H-local-zero,hist_rel_f0p80_cap90_base0p025,False,zero_eeg_control,history_reliability,0.2,0.025,0.0,5,0.970536107597131,0.023800399811481146,0.6019543985411613,0.003031994695573714,0.6075585551211242,0.6019543985411613,0.5894873813368197,0.5948693651292858,0.604346126984294,0.0,0.0
V2H-local-zero,std_rel_f0p70_ref1p0_base0p025,False,zero_eeg_control,context_std_reliability,0.2,0.025,0.0,5,0.8530041175514214,0.07584148960104073,0.6002923128619192,0.005109063742378335,0.6048314029733632,0.6002923128619192,0.5889207895306391,0.592048720863205,0.6030985046011799,0.0,0.0
V2H-local-zero,count_std_rel_f0p75_count12_std1p0_base0p025,False,zero_eeg_control,context_count_std_reliability,0.2,0.025,0.0,5,0.8388898068791628,0.08515411019743739,0.6002860324759339,0.005248106870022057,0.604980975622936,0.6002860324759339,0.5945107150294875,0.5986379403958769,0.6019972781693632,0.0,0.0
V2H-local-zero,std_rel_f0p70_ref1p5_base0p025,False,zero_eeg_control,context_std_reliability,0.2,0.025,0.0,5,0.807277405471071,0.06264807314676976,0.6002761442349269,0.006117523996583033,0.6048847111620882,0.6002761442349269,0.5868330806801462,0.5904905213099657,0.6041122215608827,0.0,0.0
V2H-local-zero,margin_power0p2_base0p025,False,zero_eeg_control,v2s_reference,0.2,0.025,0.0,5,1.0,0.0,0.5993115508345043,0.004662139175305504,0.6022268523028405,0.5993115508345043,0.5872903795668235,0.5917824000294238,0.6084114699208887,0.0,0.0
