phase,split_version,config_id,fold,seed,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,alignment_train_only,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_center_alpha_0p5,0.5600306637806638,0.5574303011803011,0.39566570110503163,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_center_alpha_1p0,0.5600306637806638,0.5574303011803011,0.4527411221971891,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_center_alpha_1p5,0.5600306637806638,0.5574303011803011,0.5450774237385116,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_center_alpha_2p0,0.5600306637806638,0.5574303011803011,0.5752244036762866,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_center_rate_beta_0p5,0.5600306637806638,0.5574303011803011,0.5602403175624933,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_center_rate_beta_1p0,0.5600306637806638,0.5574303011803011,0.6511819189643457,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_center_rate_beta_1p5,0.5600306637806638,0.5574303011803011,0.6927010692701069,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-H2_E0,False,H2_E0_non_eeg,0.3,0.35,3000,True,user_center_rate_beta_2p0,0.5600306637806638,0.5574303011803011,0.708865286271144,26,0.5753424657534246,0.5753424657534246,0.5641215266215267,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,raw,0.5578216314935065,0.5545817608317608,0.3750670528913207,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-zero,False,zero_eeg_control,0.3,0.35,3000,True,fold_train_zscore,0.5578216314935065,0.5545817608317608,0.3750670528913207,26,0.5753424657534246,0.5753424657534246,0.5617710992710993,584
