experiment_id,suite,fold,model,ablation,normalization,encoder,seed,train_count,dev_count,params,trainable_params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds
G_ablation_roll2_ablation-E0_s3,ablation,roll2,ablation-E0,E0,global_train_zscore,mlp,3,2135,356,25082,25001,18,0.6222688943001443,0.6222953897953899,0.6495368880306117,0.6155271457677218,0.2133565352387657,0.07623090400632596,7.314171314239502
G_ablation_roll2_ablation-E0_s4,ablation,roll2,ablation-E0,E0,global_train_zscore,mlp,4,2135,356,25082,25001,16,0.6201516278860029,0.6199095349095349,0.5939992132460752,0.6204014014907459,0.21596226695468498,0.0545419939293976,6.744915246963501
G_ablation_roll2_ablation-E1_s0,ablation,roll2,ablation-E1,E1,global_train_zscore,mlp,0,2135,356,25082,25001,6,0.6080877976190476,0.612206820956821,0.6781818832028038,0.5971310567356971,0.2050264225862485,0.060228871020064634,4.321085453033447
G_ablation_roll2_ablation-E1_s1,ablation,roll2,ablation-E1,E1,global_train_zscore,mlp,1,2135,356,25082,25001,8,0.6256578057359308,0.6256544844044843,0.7143368022029111,0.571620387275291,0.19510032517985593,0.03993059629692141,5.232823133468628
G_ablation_roll2_ablation-E1_s2,ablation,roll2,ablation-E1,E1,global_train_zscore,mlp,2,2135,356,25082,25001,7,0.6015640782828283,0.5994425944425944,0.6912706075885993,0.5826682594682272,0.20027316682056795,0.04546502720972713,4.751146078109741
G_ablation_roll2_ablation-E1_s3,ablation,roll2,ablation-E1,E1,global_train_zscore,mlp,3,2135,356,25082,25001,8,0.6123063221500722,0.6141994116994117,0.7220255337410149,0.5719340813519656,0.19528121191494538,0.047041075446726664,4.81339693069458
G_ablation_roll2_ablation-E1_s4,ablation,roll2,ablation-E1,E1,global_train_zscore,mlp,4,2135,356,25082,25001,10,0.5955747204184704,0.5978677341177342,0.7067195937488824,0.5772716577591642,0.1977876335898038,0.03932179888354592,5.109127759933472
G_ablation_roll2_ablation-E2_s0,ablation,roll2,ablation-E2,E2,global_train_zscore,mlp,0,2135,356,25082,25001,6,0.5944168244949495,0.5980981055981055,0.6444945106032971,0.6062196054189785,0.20887425790697486,0.053408016049789696,4.263099908828735
G_ablation_roll2_ablation-E2_s1,ablation,roll2,ablation-E2,E2,global_train_zscore,mlp,1,2135,356,25082,25001,8,0.6165990259740259,0.6148834036334037,0.6838322068447591,0.5896390681540257,0.20252790285282526,0.047765197911890996,5.0329718589782715
G_ablation_roll2_ablation-E2_s2,ablation,roll2,ablation-E2,E2,global_train_zscore,mlp,2,2135,356,25082,25001,7,0.6007509244227995,0.5985982998482998,0.6621964739119551,0.5935577446637275,0.2043333529968773,0.02956340538293355,4.6487908363342285
G_ablation_roll2_ablation-E2_s3,ablation,roll2,ablation-E2,E2,global_train_zscore,mlp,3,2135,356,25082,25001,7,0.5909075126262626,0.5910904835904837,0.6603368737259949,0.6028526151772928,0.20824753668877302,0.05223966032080875,4.576653242111206
G_ablation_roll2_ablation-E2_s4,ablation,roll2,ablation-E2,E2,global_train_zscore,mlp,4,2135,356,25082,25001,8,0.5887051316738817,0.5927552077552078,0.6419196795765834,0.6072110627339444,0.21026326963739023,0.041576552400993345,4.709095478057861
G_ablation_roll2_ablation-E3_s0,ablation,roll2,ablation-E3,E3,global_train_zscore,mlp,0,2135,356,25082,25001,5,0.605955762987013,0.6086999574499574,0.5936058362836605,0.6245531050751709,0.21730762212320587,0.024531416250968305,3.961413621902466
G_ablation_roll2_ablation-E3_s1,ablation,roll2,ablation-E3,E3,global_train_zscore,mlp,1,2135,356,25082,25001,6,0.6135323097041847,0.6155437617937618,0.5962879519364875,0.6195977975638609,0.2155880772988084,0.02102276384294179,4.1909778118133545
G_ablation_roll2_ablation-E3_s2,ablation,roll2,ablation-E3,E3,global_train_zscore,mlp,2,2135,356,25082,25001,6,0.6029195977633478,0.6030825655825656,0.5933912670314344,0.6198680467937774,0.2156849023452494,0.0383732295091515,4.2964701652526855
G_ablation_roll2_ablation-E3_s3,ablation,roll2,ablation-E3,E3,global_train_zscore,mlp,3,2135,356,25082,25001,6,0.5925419372294373,0.5958757446257447,0.5798376425991488,0.6262570644280677,0.21810538724094633,0.02234908090014891,4.217507600784302
G_ablation_roll2_ablation-E3_s4,ablation,roll2,ablation-E3,E3,global_train_zscore,mlp,4,2135,356,25082,25001,5,0.585437748015873,0.58868117993118,0.54711583163466,0.6322165134257919,0.22051592735179845,0.055181539673724446,3.990732192993164
G_ablation_roll2_ablation-E4_s0,ablation,roll2,ablation-E4,E4,global_train_zscore,mlp,0,2135,356,25082,25001,7,0.5946251578282828,0.5961667036667037,0.6678825590959483,0.5951383380044122,0.20403985483518802,0.0492297859752572,4.6166675090789795
