phase,protocol_id,iteration,selected_variant,reference_variant,weighted_delta_context_auc
V2-T,V2M-two_stage_user_local_reranker-v1,113,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001394999463461745
V2-T,V2M-two_stage_user_local_reranker-v1,114,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002990494499626191
V2-T,V2M-two_stage_user_local_reranker-v1,115,margin_power0p2_base0p025,margin_power0p25_base0p05,0.00517538815411156
V2-T,V2M-two_stage_user_local_reranker-v1,116,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0008161361781508695
V2-T,V2M-two_stage_user_local_reranker-v1,117,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0032482078853046602
V2-T,V2M-two_stage_user_local_reranker-v1,118,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0012891128559709398
V2-T,V2M-two_stage_user_local_reranker-v1,119,margin_power0p2_base0p025,margin_power0p25_base0p05,0.002256826901376666
V2-T,V2M-two_stage_user_local_reranker-v1,120,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0007597959405188323
V2-T,V2M-two_stage_user_local_reranker-v1,121,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003410641200545709
V2-T,V2M-two_stage_user_local_reranker-v1,122,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0017568903041616383
V2-T,V2M-two_stage_user_local_reranker-v1,123,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0011484652328252278
V2-T,V2M-two_stage_user_local_reranker-v1,124,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0004452359750667872
V2-T,V2M-two_stage_user_local_reranker-v1,125,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0028799291094373093
V2-T,V2M-two_stage_user_local_reranker-v1,126,margin_power0p2_base0p025,margin_power0p25_base0p05,0.003727252795439598
V2-T,V2M-two_stage_user_local_reranker-v1,127,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0019144144144144168
V2-T,V2M-two_stage_user_local_reranker-v1,128,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0025405942781398442
V2-T,V2M-two_stage_user_local_reranker-v1,129,margin_power0p2_base0p025,margin_power0p25_base0p05,0.001872246696035244
V2-T,V2M-two_stage_user_local_reranker-v1,130,margin_power0p2_base0p025,margin_power0p25_base0p05,0.0037457434733257676
V2-T,V2M-two_stage_user_local_reranker-v1,131,margin_power0p2_base0p025,margin_power0p25_base0p05,0.004593526332656771
V2-T,V2M-two_stage_user_local_reranker-v1,132,margin_power0p2_base0p025,margin_power0p25_base0p05,0.004833089805552438
V2-T,V2M-two_stage_user_local_reranker-v1,133,margin_power0p2_base0p025,margin_power0p25_base0p05,-0.00011239743733842993
