phase,protocol_id,split_version,score_variant,variant_family,power,base_weight,mean_protocol_gauc,mean_protocol_macro_user_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,fold_seed_std_protocol_gauc,min_fold_mean_protocol_gauc,max_fold_mean_protocol_gauc,min_seed_mean_protocol_gauc,max_seed_mean_protocol_gauc,protocol_gap_to_top,within_tight_top_band,within_near_top_band,beats_all_controls,delta_protocol_gauc_vs_v2s_selected,fold_seed_win_rate_vs_v2s_selected,fold_mean_min_delta_vs_v2s_selected,seed_mean_min_delta_vs_v2s_selected,delta_protocol_gauc_vs_v2q_reference,fold_seed_win_rate_vs_v2q_reference,fold_mean_min_delta_vs_v2q_reference,seed_mean_min_delta_vs_v2q_reference,stability_priority_score
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p4_base0p025,fine_power_base_grid,0.4,0.025,0.6770818559043461,0.6869487989184597,0.6700613024270752,0.6735422226215876,0.5886079432672294,0.03373030134399793,0.6496575342465754,0.7210702341137123,0.6694793417928143,0.688198234236676,0.004287656455498112,False,False,True,-0.004287656455497942,0.3333333333333333,-0.010273972602739745,-0.01014435546880891,-0.002494311574063161,0.4666666666666667,-0.007191780821917804,-0.007146159989391905,0.6689826139016799
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p35_base0p15,fine_power_base_grid,0.35,0.15,0.6769763866877266,0.6784505987595559,0.6691230410680316,0.6720129164633134,0.5969257032198143,0.029728265891168077,0.6527397260273973,0.7160535117056857,0.6684039353494127,0.6843818587856879,0.0043931256721175815,False,False,True,-0.004393125672117456,0.2,-0.0071917808219178255,-0.011861360856226058,-0.0025997807906826746,0.26666666666666666,-0.004109589041095885,-0.007942093580938928,0.6697443202149346
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p1,fine_power_base_grid,0.25,0.1,0.6769735807155504,0.6784469665892571,0.6691353602110537,0.6720184778845494,0.597302366517035,0.028696526884704466,0.6537671232876712,0.7140468227424749,0.6672710688725191,0.6871729362043754,0.00439593164429386,False,False,True,-0.004395931644293772,0.2,-0.007023411371237453,-0.013515562383791887,-0.00260258676285899,0.26666666666666666,-0.006020066889632103,-0.009596295108504757,0.6699994489943742
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p5_base0p025,fine_power_base_grid,0.5,0.025,0.676538873723542,0.6840707668651825,0.6690190080043092,0.6711695713531032,0.5882623566081027,0.034020076191539496,0.6496575342465754,0.7207357859531772,0.670050118048522,0.6893264240932755,0.004830638636302176,False,False,True,-0.004830638636301991,0.2,-0.010273972602739745,-0.00958694186791705,-0.0030372937548672095,0.3333333333333333,-0.007191780821917804,-0.006575383733684159,0.6682338546756571
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p075,fine_power_base_grid,0.2,0.075,0.6764296632106875,0.6778366732114198,0.6686750984359173,0.6713699199830152,0.5972930792176492,0.028578563552360065,0.654109589041096,0.7130434782608696,0.6656349066200631,0.6871548969292656,0.004939849149156683,False,False,True,-0.00493984914915658,0.2,-0.008026755852842803,-0.014054936709573954,-0.0031465042677217983,0.4,-0.007023411371237453,-0.010135669434286823,0.6694850223225975
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,v2n_eeg_base_0p05,reference_score_family,1.0,0.05,0.6760938781668874,0.6805579847699132,0.6688599504001635,0.6710287662073375,0.5879110260896727,0.033648595816272935,0.6493150684931507,0.720066889632107,0.6672810893191725,0.6881715089270442,0.005275634192956846,False,False,True,-0.005275634192956691,0.2,-0.010616438356164392,-0.009555539937991334,-0.00348228931152191,0.3333333333333333,-0.007534246575342451,-0.009344412463033672,0.6678817292128191
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p15_base0p0,fine_power_base_grid,0.15,0.0,0.6756975219324226,0.6780740753672072,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.0353235905660768,0.6496575342465754,0.722742474916388,0.6684633970011015,0.6860186882442098,0.005671990427421614,False,False,True,-0.005671990427421584,0.26666666666666666,-0.010273972602739701,-0.009524138008065694,-0.003878645545986803,0.4,-0.00719178082191776,-0.00816210478110472,0.66713329095757
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p1_base0p0,fine_power_base_grid,0.1,0.0,0.6756975219324226,0.6780740753672072,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.0353235905660768,0.6496575342465754,0.722742474916388,0.6684633970011015,0.6860186882442098,0.005671990427421614,False,False,True,-0.005671990427421584,0.26666666666666666,-0.010273972602739701,-0.009524138008065694,-0.003878645545986803,0.4,-0.00719178082191776,-0.00816210478110472,0.66713329095757
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p25_base0p0,fine_power_base_grid,0.25,0.0,0.6756975219324226,0.6780740753672072,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.0353235905660768,0.6496575342465754,0.722742474916388,0.6684633970011015,0.6860186882442098,0.005671990427421614,False,False,True,-0.005671990427421584,0.26666666666666666,-0.010273972602739701,-0.009524138008065694,-0.003878645545986803,0.4,-0.00719178082191776,-0.00816210478110472,0.66713329095757
V2-T,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,margin_power0p2_base0p0,fine_power_base_grid,0.2,0.0,0.6756975219324226,0.6780740753672072,0.6679187710470293,0.6682603549815852,0.5871749758487417,0.0353235905660768,0.6496575342465754,0.722742474916388,0.6684633970011015,0.6860186882442098,0.005671990427421614,False,False,True,-0.005671990427421584,0.26666666666666666,-0.010273972602739701,-0.009524138008065694,-0.003878645545986803,0.4,-0.00719178082191776,-0.00816210478110472,0.66713329095757
