experiment_id,stage,fold,config,scheduler,balance,lambda_pair,seed,params,backbone_params,eeg_params,backbone_best_epoch,eeg_best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,elapsed_seconds,locked_test_accessed
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p0_s2,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,15,1,0.6109361471861472,0.6110493672993672,0.5963952365626006,0.618922448687708,0.2153975027024248,0.045904797891003137,18.13405704498291,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p0_s0,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,0,19739,1513,18145,6,5,0.6194808881871819,0.6331782453657454,0.636453526697429,0.6379307953016662,0.20482688934981644,0.05058788651299383,17.149890184402466,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p0_s1,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,1,19739,1513,18145,16,11,0.6499909084699296,0.6631393143893144,0.7027027027027027,0.6050459449006398,0.1931479042020712,0.038474905734077795,26.492275953292847,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p0_s2,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p0,none,sample_bce,0.0,2,19739,1513,18145,3,9,0.6029295102721677,0.6167878032461366,0.6605874166849778,0.6289817028322684,0.20022252994781511,0.05788201391234089,17.979414701461792,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p05_s0,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,0,19739,1513,18145,18,3,0.6053573043871553,0.5976602977049407,0.5955570982297813,0.6670192916071971,0.23729360496262622,0.07909978262247534,18.106467485427856,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p05_s1,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,1,19739,1513,18145,13,4,0.6068525338674593,0.6041785628392772,0.6136758070114543,0.6601271760908155,0.23420448566095922,0.07937799831772262,16.32593274116516,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p05_s2,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,2,19739,1513,18145,6,1,0.5737833559475353,0.5715903078403078,0.547066990628254,0.6782023383440193,0.2423680614201627,0.09442960797544878,11.493147373199463,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p05_s0,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,0,19739,1513,18145,7,4,0.5989705086580087,0.603198976948977,0.6339448557021777,0.6163511225985694,0.2133767984667336,0.062114895736076606,15.168379545211792,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p05_s1,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,1,19739,1513,18145,16,1,0.6317401695526695,0.6338996651496652,0.6243965239781138,0.611501548315638,0.21235500636655144,0.060890914078964097,18.152257442474365,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p05_s2,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,2,19739,1513,18145,9,3,0.6218373466810967,0.6235310060310061,0.5900296820798914,0.6192777507152265,0.2155266769404457,0.05851990619302842,15.772098302841187,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p05_s0,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,0,19739,1513,18145,10,7,0.6181716690457949,0.6289841447133114,0.6537391049586172,0.638574402099651,0.20549052747387286,0.08944895998307612,20.564321994781494,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p05_s1,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,1,19739,1513,18145,16,2,0.6237030937205763,0.6378413561746895,0.6742840401376987,0.618384790103352,0.19931363469051563,0.027377718523817318,21.12828040122986,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p05_s2,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p05,none,sample_bce,0.05,2,19739,1513,18145,3,6,0.603851480687145,0.6203772307938974,0.6479894528675016,0.633849225802492,0.20257839486309287,0.0572334537898924,15.652702569961548,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p1_s0,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,0,19739,1513,18145,18,4,0.603388576597532,0.5968631038273896,0.5978479694550503,0.6659564754806362,0.23685893580878672,0.07753219745818385,18.1114501953125,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p1_s1,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,1,19739,1513,18145,13,1,0.6094002929077558,0.604144635126778,0.5871225269003818,0.6701975708014292,0.23878779102511152,0.09650478482161007,15.019536256790161,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p1_s2,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,2,19739,1513,18145,6,1,0.5727385798281323,0.5706974506974507,0.5470669906282541,0.6781778380614767,0.2423610174453574,0.09425670928975571,11.480169534683228,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p1_s0,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,0,19739,1513,18145,8,4,0.6097147817460318,0.6152901727901727,0.6270786396309409,0.618201748545079,0.21423388204978183,0.060107133304831056,15.791667222976685,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p1_s1,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,1,19739,1513,18145,18,2,0.6331323277417027,0.6335208772708772,0.6364481636448165,0.606399804338224,0.21054817623971428,0.06092006243828138,20.13813066482544,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p1_s2,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,2,19739,1513,18145,14,1,0.6141518984487735,0.6131420893920894,0.589600543575439,0.6209936960884067,0.21622275990199424,0.04734623202925883,18.04398250579834,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p1_s0,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,0,19739,1513,18145,10,5,0.6233290117031377,0.6347298457715124,0.6407749212627261,0.6434459740344711,0.20735526844979915,0.08686656119981707,21.792213201522827,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p1_s1,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,1,19739,1513,18145,16,11,0.6442272762202832,0.6589785368952036,0.6865157840767597,0.6157248785105344,0.1975872483539195,0.054478914937703106,30.365034341812134,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p1_s2,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p1,none,sample_bce,0.1,2,19739,1513,18145,3,9,0.6060240943982202,0.6194504145545813,0.6603676847579286,0.6291436768922422,0.20060006621825233,0.05920226823086137,19.85535430908203,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p2_s0,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,0,19739,1513,18145,44,5,0.6150243371885162,0.6070992020545594,0.6507115584866366,0.6378059393276733,0.22266613150225426,0.04285656450513781,34.673234701156616,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p2_s1,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,1,19739,1513,18145,13,2,0.6134349895543926,0.6085006957328387,0.5933009371745922,0.667874742353232,0.23777286196208675,0.09819437909262912,16.131720542907715,False
T_T4_pairwise_f1_sch-none_bal-sample_bce_pair-0p2_s2,T4_pairwise,1,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,2,19739,1513,18145,7,1,0.5738250306907023,0.572377258984402,0.5508851093370358,0.6744579432159042,0.24080346919484796,0.08258500947139323,14.644446849822998,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p2_s0,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,0,19739,1513,18145,8,4,0.6014643082611832,0.6064521127021126,0.6283302936022602,0.6187703595817108,0.21452558003110267,0.06915072727035414,17.871192455291748,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p2_s1,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,1,19739,1513,18145,17,1,0.6364187635281385,0.6376005938505939,0.6283660551442978,0.6099694486426476,0.2118132917261244,0.07052681041852663,24.07271122932434,False
T_T4_pairwise_f2_sch-none_bal-sample_bce_pair-0p2_s2,T4_pairwise,2,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,2,19739,1513,18145,14,1,0.6158743686868686,0.6146657971657972,0.5890998819869112,0.6210414839567947,0.21626619798672375,0.05287627210144705,25.158875226974487,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p2_s0,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,0,19739,1513,18145,6,5,0.6159335516853,0.6308191885275218,0.6378085402475646,0.6451388604464007,0.2080870517490856,0.085213452234869,23.414313793182373,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p2_s1,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,1,19739,1513,18145,16,13,0.6315522763949337,0.6469762953096286,0.6694133157547792,0.6280348613108554,0.20217424914269644,0.06848004312842974,32.68313550949097,False
T_T4_pairwise_f3_sch-none_bal-sample_bce_pair-0p2_s2,T4_pairwise,3,sch-none_bal-sample_bce_pair-0p2,none,sample_bce,0.2,2,19739,1513,18145,5,4,0.6018254763884134,0.6191904122112456,0.6332307917673771,0.6500771060067568,0.21081160589945597,0.08166866715252877,17.93852186203003,False
