phase,protocol_id,split_version,fold,seed,candidate,uses_eeg,control_type,score_variant,variant_family,feature_set,pair_weighting,oof_meta,protocol_gauc,protocol_macro_user_auc,protocol_global_auc,local_context_macro_auc,local_pair_count,valid_context_count,valid_local_user_count,event_transfer_gauc,event_transfer_macro_user_auc,event_transfer_global_auc,event_valid_user_count
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_equal_C0p25,oof_pair_meta,score_only,equal,True,0.6232876712328768,0.6207567895067895,0.6232876712328768,0.609920434503768,584,30,26,0.6176871392496392,0.6168506956006957,0.5493688087830347,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_equal_C0p25,oof_pair_meta,score_only,equal,True,0.598705501618123,0.6368869925737508,0.598705501618123,0.5827060703846418,618,28,24,0.616075096232439,0.6317466985175318,0.5529187724309675,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_context_balanced_C0p25,oof_pair_meta,score_only,context_balanced,True,0.6120401337792643,0.6071751561930133,0.6120401337792643,0.5767932385075242,598,35,28,0.5921421033361333,0.5886389404246548,0.5725789656369317,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_context_balanced_C0p25,oof_pair_meta,score_only,context_balanced,True,0.6027397260273972,0.6021009083509082,0.6027397260273972,0.5991885121051789,584,30,26,0.5946996753246754,0.5926714489214489,0.5843435968958981,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_score_context_balanced_C0p25,oof_pair_meta,score_only,context_balanced,True,0.5792880258899676,0.6232280700000321,0.5792880258899676,0.6154115824651539,618,28,24,0.6029917246700464,0.6204167977084644,0.6525672013476891,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_equal_C0p25,oof_pair_meta,context_interactions,equal,True,0.580267558528428,0.5829115923758781,0.580267558528428,0.5712071737786023,598,35,28,0.501679104477612,0.5022321428571429,0.5116279069767442,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_equal_C0p25,oof_pair_meta,context_interactions,equal,True,0.6215753424657534,0.6246323121323122,0.6215753424657534,0.618900913900914,584,30,26,0.5,0.5,0.502092050209205,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_equal_C0p25,oof_pair_meta,context_interactions,equal,True,0.5938511326860841,0.6188624598154396,0.5938511326860841,0.5990746257710544,618,28,24,0.5,0.5,0.5,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p25,oof_pair_meta,context_interactions,context_balanced,True,0.6053511705685619,0.6091249259999261,0.6053511705685619,0.5808927368927369,598,35,28,0.6032901509767182,0.5992719714148286,0.6255813953488372,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p25,oof_pair_meta,context_interactions,context_balanced,True,0.6113013698630136,0.616759398009398,0.6113013698630136,0.6128052348885682,584,30,26,0.593637490981241,0.5924036149036149,0.5903872975002682,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p25,oof_pair_meta,context_interactions,context_balanced,True,0.5938511326860841,0.6226966560617554,0.5938511326860841,0.6039329255400683,618,28,24,0.6040050664176538,0.6198706000789335,0.6652750311286897,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_sqrt_pair_C0p25,oof_pair_meta,context_interactions,sqrt_pair_balanced,True,0.6020066889632107,0.6097552843981415,0.6020066889632107,0.5986345083487942,598,35,28,0.588683638086623,0.5839791408987837,0.64168691426588,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_sqrt_pair_C0p25,oof_pair_meta,context_interactions,sqrt_pair_balanced,True,0.6198630136986302,0.6253394753394753,0.6198630136986302,0.6204397146063813,584,30,26,0.6083745941558442,0.6058631183631185,0.5865250509601974,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_sqrt_pair_C0p25,oof_pair_meta,context_interactions,sqrt_pair_balanced,True,0.6116504854368932,0.640574185691091,0.6116504854368932,0.6184837351801636,618,28,24,0.6121157591437313,0.6265285331951999,0.6119167948436242,24
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,1,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p10,oof_pair_meta,context_interactions,context_balanced,True,0.6103678929765887,0.6090682366575224,0.6103678929765887,0.5783077028791315,598,35,28,0.6097790269432061,0.6060900888133031,0.6098576883026727,28
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,2,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p10,oof_pair_meta,context_interactions,context_balanced,True,0.6095890410958904,0.6137654012654012,0.6095890410958904,0.6090993265993265,584,30,26,0.602302150974026,0.6004244366744367,0.5881343203518936,26
V2-R,V2M-two_stage_user_local_reranker-v1,protocol_a_rollv2_cv3,3,2027,V2H-local-H2_E0,False,H2_E0_non_eeg,oof_pair_context_balanced_C0p10,oof_pair_meta,context_interactions,context_balanced,True,0.5970873786407767,0.6239348388348646,0.5970873786407767,0.6057101364244222,618,28,24,0.6079969079094953,0.6230573284739952,0.6660807148612028,24
