experiment_id,model,seed,split_version,feature_set,params,best_epoch,dev_gauc,dev_macro_auc,dev_auc,dev_logloss,dev_brier,dev_ece,checkpoint,prediction_file,elapsed_seconds
B_HistGBDT_rollv2_s3,HistGBDT,3,protocol_a_rollv2_train_dev,HistGBDT,1890,,0.5628197268931534,0.5842604155104155,0.7596132718083938,0.5356436645580165,0.18033568286082124,0.05662250231343546,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_HistGBDT_rollv2_s3\predictions.csv,0.8460667133331299
B_HistGBDT_rollv2_s4,HistGBDT,4,protocol_a_rollv2_train_dev,HistGBDT,1890,,0.5628197268931534,0.5842604155104155,0.7596132718083938,0.5356436645580165,0.18033568286082124,0.05662250231343546,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_HistGBDT_rollv2_s4\predictions.csv,0.8399653434753418
B_FM_rollv2_s0,FM,0,protocol_a_rollv2_train_dev,FM,712,33,0.5442972528636864,0.5663115934990935,0.7285212041309601,0.6591885512108375,0.2024795525530447,0.09569473810551561,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_FM_rollv2_s0\predictions.csv,5.4698803424835205
B_FM_rollv2_s1,FM,1,protocol_a_rollv2_train_dev,FM,712,18,0.539630998372257,0.5543184092142425,0.7482604555775287,0.6013159816527924,0.18724105322555523,0.06196316734856935,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_FM_rollv2_s1\predictions.csv,2.9800922870635986
B_FM_rollv2_s2,FM,2,protocol_a_rollv2_train_dev,FM,712,11,0.5096960440491909,0.5267448215364882,0.7559510730242438,0.5937158794860089,0.1853032396291102,0.0770401975224129,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_FM_rollv2_s2\predictions.csv,2.3149168491363525
B_FM_rollv2_s3,FM,3,protocol_a_rollv2_train_dev,FM,712,25,0.5461898435674659,0.561754025295692,0.7443785248663297,0.5930513846364259,0.193947450823369,0.07203890370082097,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_FM_rollv2_s3\predictions.csv,3.5291075706481934
B_FM_rollv2_s4,FM,4,protocol_a_rollv2_train_dev,FM,712,54,0.5516759852424188,0.5701271799188466,0.7282648502160697,0.6664437272824272,0.199218434698641,0.10636840258538552,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_FM_rollv2_s4\predictions.csv,7.509538650512695
B_DeepFM_rollv2_s0,DeepFM,0,protocol_a_rollv2_train_dev,DeepFM,3817,12,0.5474608433524518,0.5679178730220397,0.7460631363070388,0.6196189101286652,0.19429379435844946,0.08606051000034916,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DeepFM_rollv2_s0\predictions.csv,3.3181755542755127
B_DeepFM_rollv2_s1,DeepFM,1,protocol_a_rollv2_train_dev,DeepFM,3817,21,0.5668397356334419,0.5874495103661771,0.7503845308723358,0.6236653583343488,0.19189159405193423,0.09627136726625105,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DeepFM_rollv2_s1\predictions.csv,4.339851140975952
B_DeepFM_rollv2_s2,DeepFM,2,protocol_a_rollv2_train_dev,DeepFM,3817,46,0.5879041898272668,0.6108626712793379,0.7260309089577383,0.684010519442319,0.2091133847687295,0.1262598917925672,,D:\TsingHuaEEGRec\Github\log\v2\stage_b\B_DeepFM_rollv2_s2\predictions.csv,7.068261384963989
